City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,Xining,36.6167,101.7667,19.42,78,86,0.87,CN,1691678359
250,Edd,13.9297,41.6925,35.19,54,99,5.23,ER,1691678608
251,Santa Marta De Ortigueira,43.6833,-7.85,23.85,71,36,5.75,ES,1691678608
252,Tuyen Quang,21.8233,105.2181,25.93,97,100,1.14,VN,1691678608
253,Antsiranana,-12.2787,49.2917,26.42,61,40,5.14,MG,1691678489
254,Hamilton,39.1834,-84.5333,22.36,94,100,4.12,US,1691678483
255,Newnham,-41.3833,147.1333,7.95,93,60,3.6,AU,1691678608
256,Caibarien,22.5206,-79.4669,30.62,66,96,3.95,CU,1691678608
257,Ibarreta,-25.2144,-59.8585,30.84,41,4,4.98,AR,1691678608
258,Zelenogradsk,54.9589,20.4767,18.03,66,40,6.0,RU,1691678412
259,Center,31.5107,-96.4247,31.56,62,0,10.29,US,1691678608
260,Mazagao,-0.115,-51.2894,32.03,54,17,3.02,BR,1691678608
261,Acarau,-2.8856,-40.12,31.41,47,20,7.38,BR,1691678412
262,Dunbar,38.3606,-81.7374,22.91,97,100,3.6,US,1691678608
263,Khash,28.2211,61.2158,32.71,11,22,5.82,IR,1691678609
264,Gebeit,21.0667,36.3167,39.81,14,1,4.82,SD,1691678609
265,Kaba,47.35,21.2833,24.12,43,48,3.96,HU,1691678609
266,Santa Terezinha,-29.9002,-50.0904,19.47,81,63,3.48,BR,1691678609
267,Santangpu,27.3987,111.9928,26.75,75,1,1.26,CN,1691678609
268,Horta,38.5333,-28.6333,26.8,73,20,4.47,PT,1691678609
269,Kaka,37.3482,59.6143,34.95,14,0,3.65,TM,1691678609
270,Arraial Do Cabo,-22.9661,-42.0278,25.92,65,20,8.23,BR,1691678370
271,Polyarnyy,69.1989,33.4478,24.04,50,0,5.94,RU,1691678609
272,Belem De Sao Francisco,-8.7539,-38.9658,29.02,45,93,6.89,BR,1691678609
273,Turpan,42.9333,89.1667,37.98,16,0,2.07,CN,1691678609
274,Borgarnes,64.5383,-21.9206,16.03,65,100,4.7,IS,1691678609
275,Andi,42.7836,46.2617,25.41,61,4,1.16,RU,1691678609
276,Zalingei,12.9096,23.4741,28.69,56,57,3.62,SD,1691678609
277,Badger,64.8,-147.5333,14.28,96,100,1.54,US,1691678609
278,Codrington,-38.2667,141.9667,9.69,81,100,3.64,AU,1691678609
279,Hwange,-18.3693,26.5019,24.99,24,1,3.84,ZW,1691678609
280,Klyuchi,52.2667,79.1667,19.14,73,84,3.55,RU,1691678610
281,Purranque,-40.9167,-73.1667,9.63,95,83,2.33,CL,1691678610
282,Greystones,53.1408,-6.0631,23.84,85,98,6.86,IE,1691678610
283,Jayapura,-2.5333,140.7,25.66,89,97,2.87,ID,1691678610
284,Carnarvon,-24.8667,113.6333,19.75,83,1,2.98,AU,1691678610
285,Berezovyy,51.6667,135.7,13.62,86,6,1.39,RU,1691678610
286,Coro,11.4045,-69.6734,33.06,54,13,5.39,VE,1691678610
287,Awjilah,29.1081,21.2869,36.55,20,0,4.81,LY,1691678610
288,Happy Valley-Goose Bay,53.3168,-60.3315,14.17,72,100,3.09,CA,1691678610
289,Nagqu,31.5,92.0,9.05,78,100,1.0,CN,1691678610
290,Aquin,18.2833,-73.4,30.86,66,22,2.65,HT,1691678610
291,Praia Da Vitoria,38.7333,-27.0667,25.14,78,75,3.97,PT,1691678610
292,Micco,27.8806,-80.5003,33.92,70,13,3.58,US,1691678610
293,Quellon,-43.1167,-73.6167,10.14,93,100,4.12,CL,1691678610
294,Acapulco De Juarez,16.8634,-99.8901,25.9,83,100,2.06,MX,1691678349
295,Nar'Yan-Mar,67.6713,53.087,18.53,59,2,4.05,RU,1691678487
296,Ruidoso,33.3317,-105.673,24.59,36,0,5.14,US,1691678610
297,Vorgashor,67.5833,63.95,14.74,64,24,5.54,RU,1691678610
298,Young,-32.6833,-57.6333,19.03,70,99,5.91,UY,1691678611
299,Port Moresby,-9.4431,147.1797,23.68,73,20,10.29,PG,1691678611
300,Kapuskasing,49.4169,-82.4331,16.0,77,75,4.12,CA,1691678547
301,North Bend,43.4065,-124.2243,17.92,94,100,1.86,US,1691678611
302,Puerto Ayacucho,5.6639,-67.6236,28.2,75,86,1.8,VE,1691678611
303,Atherton,53.5237,-2.4935,29.08,54,52,2.68,GB,1691678611
304,Isheyevka,54.4167,48.2667,30.73,32,0,2.25,RU,1691678611
305,Susanville,40.4163,-120.653,19.51,47,0,0.0,US,1691678611
306,Monett,36.929,-93.9277,25.51,97,0,2.68,US,1691678611
307,La Romana,18.4273,-68.9728,30.2,79,40,4.12,DO,1691678611
308,Nemuro,43.3236,145.575,18.82,99,99,6.73,JP,1691678611
309,Raja,8.4596,25.678,25.8,86,100,0.28,SS,1691678611
310,Paradip Garh,20.3167,86.6167,29.89,72,100,5.54,IN,1691678611
311,Jiagedaqi,50.4167,124.1167,15.25,94,17,0.75,CN,1691678611
312,San Antonio De Pale,-1.4014,5.6325,23.82,81,70,3.6,GQ,1691678611
313,Ardestan,33.3761,52.3694,33.18,14,0,7.37,IR,1691678611
314,Petropavlovsk-Kamchatsky,53.0452,158.6483,11.33,94,75,2.0,RU,1691678611
315,Touros,-5.1989,-35.4608,27.99,64,57,8.05,BR,1691678611
316,Dul'Durga,50.6761,113.5931,16.57,99,100,1.57,RU,1691678612
317,Lethbridge,49.7,-112.8186,18.54,55,20,5.14,CA,1691678612
318,Minas De Marcona,-15.2119,-75.1103,15.39,71,37,6.91,PE,1691678612
319,Alvaraes,-3.2208,-64.8042,26.93,48,6,1.34,BR,1691678612
